student_id,full_name,email,country,signup_date
1,Nitesh Raghavan,niteshraghavan698@gmail.com,India,2024-12-07
2,Alka Sha,alkasha538@gmail.com,India,2024-01-02
3,Mohammed Gupta,mohammedgupta697@gmail.com,India,2024-08-30
4,Darsh Murthy,darshmurthy508@gmail.com,India,2024-09-09
5,Yadavi Wali,yadaviwali470@gmail.com,India,2024-02-18
6,Quincy Biswas,quincybiswas324@gmail.com,India,2024-05-13
7,Netra Dar,netradar241@gmail.com,India,2025-05-21
8,Balveer Bumb,balveerbumb621@gmail.com,India,2026-03-12
9,Advika Jayaraman,advikajayaraman605@gmail.com,India,2024-12-22
10,William Lanka,williamlanka193@gmail.com,India,2025-07-23
11,Tanvi Mutti,tanvimutti873@gmail.com,India,2024-12-02
12,Aditya Shanker,adityashanker148@gmail.com,India,2026-03-01
13,Ethan Yogi,ethanyogi981@gmail.com,India,2025-06-12
14,Kevin Palla,kevinpalla212@gmail.com,India,2024-06-30
15,Kala Mane,kalamane256@gmail.com,India,2026-01-19
16,Abhiram Mistry,abhirammistry742@gmail.com,India,2024-05-14
17,Krish Lalla,krishlalla263@gmail.com,India,2026-03-03
18,Nachiket Magar,nachiketmagar911@gmail.com,India,2024-04-08
19,Hemal Jani,hemaljani796@gmail.com,India,2024-08-27
20,Yashasvi Suresh,yashasvisuresh532@gmail.com,India,2025-08-08
21,George Sampath,georgesampath710@gmail.com,India,2024-08-01
22,Aarush Nath,aarushnath165@gmail.com,India,2025-12-06
23,Neel Sathe,neelsathe494@gmail.com,India,2025-10-18
24,Aditya Choudhury,adityachoudhury490@gmail.com,India,2025-04-14
25,Balendra Pingle,balendrapingle710@gmail.com,India,2024-03-05
26,Qushi Datta,qushidatta579@gmail.com,India,2025-05-10
27,Balveer Parmar,balveerparmar641@gmail.com,India,2024-02-05
28,Harshil Pandya,harshilpandya357@gmail.com,India,2024-06-27
29,Mohammed Khalsa,mohammedkhalsa666@gmail.com,India,2025-10-25
30,Nitara Bakshi,nitarabakshi981@gmail.com,India,2026-01-05
31,Nisha Kothari,nishakothari111@gmail.com,India,2024-06-01
32,Lavanya Barad,lavanyabarad796@gmail.com,India,2024-08-15
33,Ryan Sharma,ryansharma838@gmail.com,India,2025-12-31
34,Udant Bajwa,udantbajwa217@gmail.com,India,2024-10-24
35,Falguni Mallick,falgunimallick798@gmail.com,India,2025-07-15
36,Indali Upadhyay,indaliupadhyay649@gmail.com,India,2026-01-05
37,Ayaan D’Alia,ayaand’alia868@gmail.com,India,2024-12-06
38,Pranav Lanka,pranavlanka373@gmail.com,India,2026-01-16
39,Hemani Murthy,hemanimurthy887@gmail.com,India,2024-02-02
40,Lekha Gupta,lekhagupta756@gmail.com,India,2025-01-06
41,Aarav Venkatesh,aaravvenkatesh448@gmail.com,India,2024-08-04
42,Januja Sankar,janujasankar214@gmail.com,India,2026-02-26
43,Dipta Dash,diptadash400@gmail.com,India,2024-02-29
44,Yashica More,yashicamore545@gmail.com,India,2025-09-04
